Title,Console,Genre,Publisher,Developer,Critic_score,Total Global sales,release_date,last_update,Region,Sales
2Xtreme,PS,Sports,Sony Computer Interactive Entertainment,SCEA,8.3,1400000,31-10-1996 00:00,,North American sales,1150000
2Xtreme,PS,Sports,Sony Computer Interactive Entertainment,SCEA,8.3,1400000,31-10-1996 00:00,,European & African sales,200000
2Xtreme,PS,Sports,Sony Computer Interactive Entertainment,SCEA,8.3,1400000,31-10-1996 00:00,,Rest of world sales,50000
A Boy and His Blob,Wii,Platform,Majesco,WayForward Technologies,7.9,210000,13-10-2009 00:00,,North American sales,180000
A Boy and His Blob,Wii,Platform,Majesco,WayForward Technologies,7.9,210000,13-10-2009 00:00,,European & African sales,10000
A Boy and His Blob,Wii,Platform,Majesco,WayForward Technologies,7.9,210000,13-10-2009 00:00,,Rest of world sales,20000
A Bug's Life,N64,Platform,Activision Value,Traveller's Tales,6.1,630000,30-04-1999 00:00,,North American sales,490000
A Bug's Life,N64,Platform,Activision Value,Traveller's Tales,6.1,630000,30-04-1999 00:00,,European & African sales,130000
A Bug's Life,N64,Platform,Activision Value,Traveller's Tales,6.1,630000,30-04-1999 00:00,,Rest of world sales,10000
A Bug's Life,PS,Platform,Sony Computer Interactive Entertainment,Traveller's Tales,3.6,2790000,31-10-1998 00:00,,North American sales,1960000
A Bug's Life,PS,Platform,Sony Computer Interactive Entertainment,Traveller's Tales,3.6,2790000,31-10-1998 00:00,,European & African sales,720000
A Bug's Life,PS,Platform,Sony Computer Interactive Entertainment,Traveller's Tales,3.6,2790000,31-10-1998 00:00,,Rest of world sales,110000
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision Value,"Livesay Technologies, Inc.",3.8,1370000,23-09-1998 00:00,,North American sales,760000
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision Value,"Livesay Technologies, Inc.",3.8,1370000,23-09-1998 00:00,,European & African sales,520000
A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision Value,"Livesay Technologies, Inc.",3.8,1370000,23-09-1998 00:00,,Rest of world sales,90000
A Collection of Intellivision Classic Games,PS,Misc,Activision Value,LTI,4.3,310000,30-10-1999 00:00,,North American sales,170000
A Collection of Intellivision Classic Games,PS,Misc,Activision Value,LTI,4.3,310000,30-10-1999 00:00,,European & African sales,120000
A Collection of Intellivision Classic Games,PS,Misc,Activision Value,LTI,4.3,310000,30-10-1999 00:00,,Rest of world sales,20000
A Game of Thrones: Genesis,PC,Strategy,Focus Home Interactive,Cyanide,4.9,30000,28-09-2011 00:00,,European & African sales,30000
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,480000,23-03-2018 00:00,24-03-2018 00:00,North American sales,230000
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,480000,23-03-2018 00:00,24-03-2018 00:00,European & African sales,160000
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,480000,23-03-2018 00:00,24-03-2018 00:00,Rest of world sales,80000
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,240000,23-03-2018 00:00,24-03-2018 00:00,North American sales,170000
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,240000,23-03-2018 00:00,24-03-2018 00:00,European & African sales,50000
A Way Out,XOne,Action,Electronic Arts,Hazelight,8.1,240000,23-03-2018 00:00,24-03-2018 00:00,Rest of world sales,20000
A Witch's Tale,DS,Role-Playing,NIS America,Hit Maker,5,110000,06-10-2009 00:00,,North American sales,80000
A Witch's Tale,DS,Role-Playing,NIS America,Hit Maker,5,110000,06-10-2009 00:00,,Japanese sales,30000
A Witch's Tale,DS,Role-Playing,NIS America,Hit Maker,5,110000,06-10-2009 00:00,,Rest of world sales,10000
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,Harmonix Music Systems,6.7,230000,16-11-2008 00:00,,North American sales,210000
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,Harmonix Music Systems,6.7,230000,16-11-2008 00:00,,Rest of world sales,20000
Academy of Champions: Soccer,Wii,Sports,Ubisoft,Ubisoft Vancouver,7.1,120000,03-11-2009 00:00,,North American sales,90000
Academy of Champions: Soccer,Wii,Sports,Ubisoft,Ubisoft Vancouver,7.1,120000,03-11-2009 00:00,,European & African sales,20000
Academy of Champions: Soccer,Wii,Sports,Ubisoft,Ubisoft Vancouver,7.1,120000,03-11-2009 00:00,,Rest of world sales,10000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,North American sales,230000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,Japanese sales,300000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,European & African sales,140000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,700000,16-02-2010 00:00,,Rest of world sales,40000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,North American sales,300000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,Japanese sales,220000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,European & African sales,160000
Ace Combat: Assault Horizon,PS3,Action,Bandai Namco Entertainment Games,Project ACES,7.5,740000,11-10-2011 00:00,,Rest of world sales,70000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,North American sales,300000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,Japanese sales,30000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,European & African sales,120000
Ace Combat: Assault Horizon,X360,Action,Bandai Namco Entertainment Games,Project ACES,7,490000,11-10-2011 00:00,,Rest of world sales,40000
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Bandai Namco Entertainment Games,Namco Bandai Games,7,250000,15-11-2011 00:00,,North American sales,100000
